Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
13781351360,"Mar 3, 2025, 7:26:03 PM",Afternoon Run,Run,"",9860,6.39,,,false,,,activities/13781351360.gpx,,,9860.0,1831.0,6397.3,4.76,3.494,71.5,79.1,97.4,135.5,5.6,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,6357.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.649,283.7,,,,4982.0,,,,,3.472,,,,,,,,media/2DAEC3B1-2931-4F2B-827D-73E0FD9107AA.jpg|media/97C63540-A00B-4534-91C8-6496537F2702.jpg
13827656470,"Mar 8, 2025, 9:08:37 PM",Afternoon Run,Run,,3702,8.08,,,false,,,activities/13827656470.gpx,,,3702.0,2283.0,8079.5,4.9,3.539,77.8,77.8,97.6,135.5,17.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8186.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.182,287.2,,,,5776.0,,,,,3.586,,,,,,,,""
14053970083,"Apr 1, 2025, 10:19:13 PM",Afternoon Run,Run,"",6593,8.15,,,false,,,activities/14053970083.gpx,,,6593.0,2320.0,8153.1,5.44,3.514,79.8,79.8,96.5,135.5,23.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8269.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.237,290.5,,,,6202.0,,,,,3.564,,,,,,,,media/C5FFA15A-F3E8-42CB-BC40-9B86B1523551.jpg
14062066945,"Apr 2, 2025, 5:34:05 PM",Lunch Run,Run,"",6957,8.13,,,false,,,activities/14062066945.gpx,,,6957.0,2509.0,8134.6,4.86,3.242,74.3,74.3,95.4,135.5,25.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8220.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.169,333.0,,,,6210.0,,,,,3.276,,,,,,,,""
14180871264,"Apr 15, 2025, 4:35:23 AM",Missed the Bus,Run,"",1803,1.76,,,false,,,activities/14180871264.gpx,,,1803.0,457.0,1767.8,6.18,3.868,28.9,28.9,101.9,130.0,41.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1885.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.98,0.0,,,,1224.0,,,,,4.126,,,,,,,,""
14180892433,"Apr 5, 2025, 7:07:29 PM",Warren Peak,Hike,"",8584,9.77,,,false,,,activities/14180892433.fit,,,8584.0,6709.0,9773.8,2.74,1.457,358.5,350.9,1210.1,1552.9,48.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.139,9457.0,,,,,0.0,,,,,,,,,,,,media/2EFF6552-C0D1-4819-8BD1-27207BCE0CDD.jpg|media/64B97384-9697-4F46-8D93-3D45D1442EE3.jpg
14258367620,"Apr 23, 2025, 12:27:47 AM",Evening Run,Run,"",5697,8.63,,,false,,,activities/14258367620.gpx,,,5697.0,2527.0,8630.8,5.26,3.415,84.2,84.2,95.0,135.5,5.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8726.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.515,533.7,,,,6640.0,,,,,3.453,,,,,,,,media/C402F59B-ABD9-4D9B-B6E0-E603430D8997.jpg
14336348636,"Apr 30, 2025, 5:43:53 PM",Lunch Run but i forgot to stop recording and walked to lunch,Run,"",7547,7.25,,,false,,,activities/14336348636.gpx,,,7547.0,2595.0,7250.3,5.94,2.794,90.8,83.8,96.6,135.5,30.6,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,7316.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.961,279.8,,,,6094.0,,,,,2.82,,,,,,,,media/CCF53BB8-6E6D-4198-B29A-CCEB763ACD44.jpg
14448268111,"May 11, 2025, 8:37:58 AM",Walking the Strip,Walk,"",6648,8.18,,,false,,,activities/14448268111.gpx,,,6648.0,5277.0,8180.5,16.883,1.55,36.1,36.1,636.2,654.4,35.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.231,90.9,,,,8072.0,,,,,,,,,,,,,""
14473874353,"May 14, 2025, 3:11:12 AM",Evening Run,Run,"",1852,6.11,,,false,,,activities/14473874353.gpx,,,1852.0,1822.0,6118.6,5.94,3.358,57.0,57.0,111.6,135.5,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6187.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.304,278.1,,,,4744.0,,,,,3.396,,,,,,,,""
14484480113,"May 15, 2025, 2:14:14 AM",Evening Run,Run,"",1382,5.05,,,false,,,activities/14484480113.gpx,,,1382.0,1378.0,5049.8,5.32,3.665,46.0,46.0,117.1,135.5,5.9,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5094.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.654,278.0,,,,3736.0,,,,,3.697,,,,,,,,""
14502994978,"May 16, 2025, 10:27:23 PM",Afternoon Run,Run,"",5865,7.97,,,false,,,activities/14502994978.gpx,,,5865.0,2271.0,7974.6,5.64,3.511,77.4,77.4,96.4,135.5,5.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8023.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.36,319.9,,,,6100.0,,,,,3.533,,,,,,,,media/DD461601-4F48-44CA-A5F2-7E1D06178797.jpg
14566546586,"May 23, 2025, 2:45:38 AM",Evening Run,Run,"",2588,8.46,,,false,,,activities/14566546586.gpx,,,2588.0,2323.0,8461.4,5.6,3.642,84.1,81.4,96.4,135.5,5.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8560.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.269,350.9,,,,6264.0,,,,,3.685,,,,,,,,media/34F99726-F308-4C3A-A9FD-A23E39998E56.jpg
14616590427,"May 28, 2025, 1:35:45 AM",Evening Run,Run,"",2292,7.53,,,false,,,activities/14616590427.gpx,,,2292.0,2041.0,7534.7,5.26,3.692,78.0,67.9,95.5,135.5,5.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,7645.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.287,489.1,,,,5620.0,,,,,3.746,,,,,,,,""
14646125234,"May 30, 2025, 10:59:09 PM",Afternoon Run,Run,"",3233,9.45,,,false,,,activities/14646125234.gpx,,,3233.0,2768.0,9449.9,5.6,3.414,91.5,93.5,95.8,135.5,9.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,9550.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.923,377.5,,,,7152.0,,,,,3.45,,,,,,,,media/6E1692F7-BF46-460C-BF7A-384BA8EF0108.jpg
14655266200,"May 31, 2025, 6:08:02 PM",Lunch Run,Run,"",4003,8.31,,,false,,,activities/14655266200.gpx,,,4003.0,2373.0,8318.5,5.26,3.505,91.9,98.9,96.4,135.5,9.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8298.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.078,284.9,,,,6316.0,,,,,3.497,,,,,,,,""
14689887432,"Jun 4, 2025, 1:45:36 AM",Evening Run,Run,"",4819,8.19,,,false,,,activities/14689887432.gpx,,,4819.0,2688.0,8195.1,4.82,3.049,78.0,84.9,95.9,135.5,41.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8281.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.701,361.0,,,,6982.0,,,,,3.081,,,,,,,,media/8F03F6F7-9B7D-427F-AEF0-9F6BDF7D0C90.jpg
